Division,MatchDate,HomeTeam,AwayTeam,HomeElo,AwayElo,gol_casa,gol_trasferta,risultato_1X2,xg_casa,xg_trasferta,pos_classifica_casa,pos_classifica_trasferta,punti_totali_casa,punti_totali_trasferta,punti_m5_pond_gen_casa,punti_m5_pond_gen_trasferta,punti_m5_pond_split_casa,punti_m5_pond_split_trasferta,xg_m5_pond_gen_casa,xg_m5_pond_gen_trasferta,xg_m5_pond_split_casa,xg_m5_pond_split_trasferta,xga_m5_pond_gen_casa,xga_m5_pond_gen_trasferta,xga_m5_pond_split_casa,xga_m5_pond_split_trasferta,gf_m5_pond_gen_casa,gf_m5_pond_gen_trasferta,gf_m5_pond_split_casa,gf_m5_pond_split_trasferta,gs_m5_pond_gen_casa,gs_m5_pond_gen_trasferta,gs_m5_pond_split_casa,gs_m5_pond_split_trasferta,diff_xg_gol_m5_gen_casa,diff_xg_gol_m5_gen_trasferta,h2h_punti_m5_casa,h2h_punti_m5_trasferta,h2h_gf_m5_casa,h2h_gs_m5_casa,h2h_xg_m5_casa,h2h_xg_m5_trasferta,h2h_split_punti_m5_casa,h2h_split_gf_m5_casa,giorni_riposo_casa,giorni_riposo_trasferta,partite_14gg_casa,partite_14gg_trasferta,is_derby,dist_champions_casa,dist_champions_trasferta,dist_europa_casa,dist_europa_trasferta,dist_salvezza_casa,dist_salvezza_trasferta,giornata_stagione,meta_stagione,tiri_m5_gen_casa,tiri_m5_gen_trasferta,tiri_porta_m5_gen_casa,tiri_porta_m5_gen_trasferta,corner_m5_gen_casa,corner_m5_gen_trasferta,cartellini_m5_gen_casa,cartellini_m5_gen_trasferta
E0,2015-01-01,Stoke,Man United,1691.77,1851.94,1,1,X,1.41,0.93,11,4,25,36,2.1333333333333333,1.9333333333333331,1.6666666666666667,1.6,1.1586666666666663,1.7566666666666668,1.4893333333333334,1.418,1.214,1.0586666666666666,1.45,1.2553333333333334,1.2666666666666666,1.5333333333333334,1.5333333333333334,0.9333333333333332,0.6666666666666666,0.5333333333333333,1.3333333333333333,0.6666666666666666,-0.1080000000000001,0.2233333333333333,0.6,2.4,1.4,2.4,1.29,1.91,0.8,0.8,4.0,4.0,3,3,0,-11,0,-6,5,8,19,20,2,11.933333333333334,10.266666666666667,2.6,5.466666666666667,4.933333333333334,5.2,1.6,2.4
E0,2015-01-01,Man City,Sunderland,1945.55,1646.37,3,2,1,3.63,0.98,2,14,43,20,2.333333333333333,1.1333333333333333,2.333333333333333,1.6666666666666667,1.606,1.2786666666666668,1.762,1.086,1.25,0.7859999999999999,0.7773333333333333,0.732,2.2666666666666666,0.6,2.0,0.4666666666666667,0.9333333333333332,0.9333333333333332,0.8,0.0666666666666666,-0.6606666666666665,0.6786666666666669,1.4,1.4,1.8,1.0,1.04,0.41,2.2,3.4,4.0,4.0,3,3,0,10,-13,12,-11,26,3,20,2,13.533333333333331,13.6,4.666666666666667,3.0,7.533333333333333,5.466666666666667,2.466666666666667,3.6666666666666665
E0,2015-01-01,QPR,Swansea,1577.73,1681.75,1,1,X,3.16,1.7,16,9,18,28,1.1333333333333333,1.4,2.2,0.8666666666666667,1.2866666666666666,1.074,1.7673333333333334,1.094,1.1246666666666667,1.8766666666666665,1.102,2.1166666666666667,1.1333333333333333,1.0,1.7333333333333334,0.9333333333333332,1.3333333333333333,1.8,0.9333333333333332,2.2,0.1533333333333333,0.074,0.8,2.0,1.0,2.4,0.79,1.54,1.5,1.5,4.0,3.0,3,3,0,-15,-5,-13,-3,1,11,20,2,14.333333333333334,10.866666666666667,3.8666666666666663,3.0,5.8,4.266666666666667,2.2,1.2
E0,2015-01-01,Southampton,Arsenal,1753.29,1857.14,2,0,1,2.41,0.85,4,5,33,33,1.7333333333333334,2.4,1.3333333333333333,1.6666666666666667,1.315333333333333,2.294,1.3060000000000005,1.984,0.5013333333333333,1.2513333333333334,0.8133333333333332,1.2993333333333337,1.8,2.2666666666666666,1.4666666666666666,1.8,0.8666666666666667,1.3333333333333333,1.1333333333333333,1.6,-0.484666666666667,0.0273333333333329,0.4,2.2,0.8,2.4,0.57,2.37,1.2,1.4,4.0,4.0,3,3,0,0,0,2,2,16,16,20,2,11.666666666666666,15.666666666666666,3.333333333333333,5.2,4.2,7.266666666666667,1.7333333333333334,2.6
E0,2015-01-01,West Ham,West Brom,1704.92,1607.58,1,1,X,1.14,1.12,7,18,31,17,0.9333333333333332,0.4666666666666667,1.8666666666666667,0.4,1.04,1.68,1.426,1.0613333333333337,2.449333333333333,1.638,1.5666666666666669,1.9926666666666668,1.0666666666666669,0.8,1.6,0.6,1.4,2.066666666666667,0.8666666666666667,1.7333333333333334,-0.0266666666666666,0.8799999999999999,1.6,1.0,1.6,1.2,1.24,1.41,1.8,1.8,4.0,4.0,3,3,0,-5,-19,-2,-16,14,0,20,2,11.8,15.133333333333333,3.2666666666666666,5.0,7.266666666666667,6.533333333333333,2.066666666666667,1.2666666666666666
E0,2015-01-01,Aston Villa,Crystal Palace,1618.71,1607.67,0,0,X,1.39,0.58,13,18,21,16,0.7333333333333333,0.5333333333333333,1.3333333333333333,0.6666666666666666,0.8793333333333333,0.5080000000000001,0.976,0.7746666666666666,0.9166666666666666,0.9493333333333333,1.0546666666666666,0.9633333333333332,0.3333333333333333,0.4,0.8666666666666667,0.1333333333333333,0.6666666666666666,1.5333333333333334,0.7333333333333333,1.0,0.546,0.1080000000000001,0.8,2.0,0.4,1.0,0.19,0.8,0.5,0.5,4.0,4.0,3,3,0,-12,-17,-10,-15,5,0,20,2,11.6,9.866666666666667,3.333333333333333,2.933333333333333,2.533333333333333,6.666666666666667,2.8,1.0666666666666669
E0,2015-01-01,Hull,Everton,1575.98,1758.46,2,0,1,1.96,0.96,18,13,16,21,0.8666666666666667,0.4,0.2,0.0666666666666666,1.0666666666666669,0.8720000000000001,1.0553333333333332,0.8066666666666668,0.946,1.6646666666666667,1.0733333333333333,1.794,0.8,1.0666666666666669,0.1333333333333333,0.8666666666666667,1.0666666666666669,2.066666666666667,0.9333333333333332,2.333333333333333,0.2666666666666666,-0.1946666666666665,0.8,2.0,1.2,2.4,0.3,1.28,1.3333333333333333,1.6666666666666667,4.0,4.0,3,3,0,-17,-12,-15,-10,-1,4,20,2,13.533333333333331,12.2,3.733333333333333,3.6,4.933333333333334,5.2,1.8666666666666667,1.7333333333333334
E0,2015-01-01,Liverpool,Leicester,1802.87,1593.65,2,2,X,2.39,1.09,8,20,28,13,2.066666666666667,1.0,1.8666666666666667,1.0,1.936,0.6993333333333334,1.840666666666667,0.754,0.904,1.5086666666666668,0.836,1.8206666666666669,2.0,0.6666666666666666,2.066666666666667,0.8,1.1333333333333333,1.2,1.0,1.4666666666666666,-0.064,0.0326666666666667,2.6,0.2,2.0,0.6,1.3,1.24,3.0,1.3333333333333333,3.0,4.0,3,3,0,-5,-20,-3,-18,11,-4,20,2,18.6,10.8,7.8,3.466666666666667,5.8,5.466666666666667,1.2666666666666666,1.8666666666666667
E0,2015-01-01,Tottenham,Chelsea,1767.54,1949.94,5,3,1,1.82,3.03,7,1,31,46,2.2,2.1333333333333333,1.7333333333333334,1.4666666666666666,1.1746666666666667,1.722,1.1966666666666663,1.2246666666666668,1.5793333333333333,0.5393333333333333,1.3706666666666665,0.7566666666666666,1.2,1.6,0.8666666666666667,1.2,0.6,0.4666666666666667,0.5333333333333333,0.8,-0.0253333333333332,0.1219999999999998,0.4,2.2,1.0,2.8,0.29,1.72,1.2,1.4,4.0,4.0,3,3,1,-5,10,0,15,14,29,20,2,12.0,16.133333333333333,4.066666666666666,4.866666666666666,4.4,6.466666666666667,2.0,1.2666666666666666
F1,2015-01-09,Montpellier,Marseille,1600.24,1709.28,2,1,1,0.16,0.22,10,1,26,41,1.2666666666666666,1.9333333333333331,1.5333333333333334,0.4666666666666667,1.4926666666666668,1.5073333333333332,1.442,1.4906666666666666,1.157333333333333,0.8979999999999999,1.0253333333333332,1.34,1.6666666666666667,1.5333333333333334,1.8,0.4,1.1333333333333333,0.9333333333333332,1.6,1.2,-0.1739999999999999,-0.0260000000000002,0.6,2.4,1.2,1.8,1.56,1.1,1.2,1.2,14.0,14.0,0,0,0,-10,5,-5,10,7,22,20,2,7.466666666666667,13.333333333333334,4.0,3.8666666666666663,4.6,7.266666666666667,2.333333333333333,1.0666666666666669
