Date,League,Match,Bet,Bookmaker_odds,Model_probability,Fair_odds,EV_Perc,Stake_euro,Result,Profit,Bankroll
30/08/26,I1,Napoli-Como,1,2.25,50%,2.0,12.5,50,2,-50,950
30/08/26,I1,Lazio-Genoa,1,2.30,52.5%,"1,94",19.6,75,1, 97.5,1047
31/08/26,I1,Atalanta-Bologna,1,2.00,57%,"1,75",14,70,1,70,1117
05/09/26,E0,Brighton-Leeds,1,1.95,63.4%,1.58,23.63,55.85,X,-55.85,1061.15
05/09/26,D1,Hoffenheim-Dortmund,2,2.32,53.0%,1.89,22.96,55.85,2,73.72,1134.87
05/09/26,E0,Brentford-Sunderland,1,1.68,71.5%,1.40,20.12,55.85,X,-55.85,1079.02
05/09/26,E0,Brentford-Sunderland,Over 2.5,1.92,58.5%,1.71,12.32,55.85,Under 2.5,-55.85,1023.17
05/09/26,SP1,Athletic Bilbao-Atl. Madrid,Over 2.5,2.15,51.1%,1.96,9.86,47.91,Over 2.5,55.10,1078.27
05/09/26,I1,Fiorentina-Torino,Over 2.5,2.15,50.8%,1.97,9.22,44.78,Over 2.5,51.50,1129.77
05/09/26,I1,Roma-Atalanta,1,1.81,60.3%,1.66,9.14,55.85,1,45.24,1175.01
06/09/26,F1,Marseille-Paris FC,1,1.68,71.0%,1.41,19.28,55.85,2,-55.85,1119.16
06/09/26,I1,Bologna-Sassuolo,1,2.05,53.5%,1.87,9.67,51.46,X,-51.46,1067.70
11/09/26,I1,Venezia-Fiorentina,1,2.98,41.2%,2.43,22.78,20.28,,,
11/09/26,F1,Rennes-Marseille,Over 2.5,1.95,58.3%,1.72,13.68,20.28,,,
11/09/26,D1,Union Berlin-Schalke,2,2.97,38.2%,2.62,13.45,13.85,,,
12/09/26,I1,Lazio-AC Milan,1,3.20,49.2%,2.03,57.44,20.28,,,
12/09/26,E0,Bournemouth-Brentford,2,2.66,48.9%,2.04,30.07,20.28,,,
12/09/26,F1,Paris FC-Lyon,1,2.60,47.6%,2.10,23.76,20.28,,,
12/09/26,E0,Bournemouth-Brentford,Over 2.5,1.95,56.5%,1.77,10.17,20.28,,,
12/09/26,SP1,Osasuna-Espanyol,1,2.01,52.5%,1.90,5.53,11.09,,,
13/09/26,SP1,Real Sociedad-Atl. Madrid,1,2.83,44.9%,2.23,27.07,20.28,,,
13/09/26,I1,Lecce-Monza,2,2.87,43.3%,2.31,24.27,20.28,,,
13/09/26,SP1,Getafe-Dep. A Coruna,1,2.28,52.7%,1.90,20.16,20.28,,,
13/09/26,SP1,Real Sociedad-Atl. Madrid,Over 2.5,2.15,54.2%,1.85,16.53,20.28,,,
14/09/26,E0,Leeds-Newcastle,1,2.41,52.2%,1.92,25.80,20.28,,,
14/09/26,SP1,Villarreal-Betis,1,1.87,57.8%,1.73,8.09,18.85,,,
